                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0707,                0.50637,                 1.1092,                0.97774,                0.99405,                0.99239,                0.72303,                   1.02,                0.45412,                 1.1382,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.0418,                0.50273,                 1.0905,                0.97251,                0.99405,                0.99205,                0.73285,                 1.0149,                0.47579,                   1.14,               0.000614,               0.000614,               0.000614
                     37,                  1.067,                0.48099,                 1.0998,                0.97345,                0.99405,                0.98871,                0.73518,                0.97403,                0.45709,                 1.1218,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.0575,                0.48601,                 1.0899,                0.97807,                0.99405,                0.99235,                 0.7304,                0.98164,                0.44147,                 1.1165,              0.0005348,              0.0005348,              0.0005348
                     39,                 1.0305,                0.47659,                 1.0731,                0.97861,                0.99405,                0.99132,                0.72758,                0.97038,                0.44259,                 1.1168,              0.0004952,              0.0004952,              0.0004952
                     40,                 1.0071,                0.46357,                 1.0676,                0.97379,                  0.995,                0.99305,                0.74603,                0.93691,                0.44114,                 1.0954,              0.0004556,              0.0004556,              0.0004556
                     41,                 1.0086,                0.46531,                 1.0981,                0.97381,                0.99584,                0.99326,                0.72633,                  0.993,                0.43109,                 1.1284,               0.000416,               0.000416,               0.000416
                     42,                0.99913,                0.44336,                 1.0755,                0.97924,                0.98247,                 0.9934,                0.73576,                 0.9652,                0.43994,                  1.113,              0.0003764,              0.0003764,              0.0003764
                     43,                0.96272,                0.43846,                 1.0863,                 0.9794,                0.99044,                0.99372,                0.74305,                 0.9447,                0.41509,                 1.1074,              0.0003368,              0.0003368,              0.0003368
                     44,                0.97286,                0.42709,                 1.0584,                0.97748,                0.99107,                0.99098,                0.73877,                0.96614,                0.42218,                 1.1254,              0.0002972,              0.0002972,              0.0002972
                     45,                0.95444,                 0.4219,                 1.0486,                0.98179,                 0.9881,                0.99391,                0.74842,                0.91807,                0.40955,                 1.0983,              0.0002576,              0.0002576,              0.0002576
                     46,                0.93952,                0.41662,                 1.0531,                0.97652,                0.99029,                0.99244,                0.76058,                0.90444,                0.41231,                 1.0882,               0.000218,               0.000218,               0.000218
                     47,                0.96287,                0.42606,                 1.0736,                0.97945,                0.99289,                0.99356,                0.73978,                0.93259,                0.42636,                 1.1019,              0.0001784,              0.0001784,              0.0001784
                     48,                0.94866,                0.42152,                 1.0664,                 0.9825,                0.99405,                0.99351,                0.76667,                0.88738,                0.39892,                 1.0804,              0.0001388,              0.0001388,              0.0001388
                     49,                0.95298,                0.42117,                 1.0664,                0.97945,                0.99312,                0.99346,                0.75351,                0.90419,                0.40424,                 1.0916,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.93649,                0.41459,                 1.0535,                0.97655,                0.99133,                0.99343,                0.76118,                0.87942,                 0.3976,                 1.0803,               5.96e-05,               5.96e-05,               5.96e-05
