                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85047,                 2.6893,                 1.2199,                0.61607,                0.87894,                 0.8879,                0.61553,                 1.3959,                 1.3228,                 1.2514,                      0,                      0,                      0
                      2,                 1.2853,                 2.8921,                 1.4509,                0.60089,                  0.894,                0.88785,                0.61519,                  1.414,                 1.3456,                 1.2593,              7.973e-07,              7.973e-07,              7.973e-07
                      3,                 1.3423,                 3.2088,                 1.6309,                0.60761,                0.87938,                0.88793,                0.61518,                 1.4332,                 1.3687,                 1.2683,              8.092e-07,              8.092e-07,              8.092e-07
